what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304579683458
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1304579684386
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304579796738
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1304579817777
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1304579819643
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304579826174
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304579917482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304579923175
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304579925262
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1304579927172
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304579927680
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1304579952246
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580022574
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580040641
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580070825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580086400
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1304580091877
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304580092172
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580109976
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580118550
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1304580133670
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304580133976
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304580140105
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304580190536
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304580198021
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580205110
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580205383
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580205933
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580206662
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580207037
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580207306
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580207596
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580207861
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580208085
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580208414
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580208639
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580209080
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1304580209320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580223909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580369731
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304580376837
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580456668
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580458215
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580483572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580484467
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580493774
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580494343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580506813
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580520069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580526665
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580531230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580548094
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580579450
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580588184
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304580616614
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1304580618854
